,City,Latitude,Longitude,Max Temperature,Humidity,Wind Speed,Cloudiness,Country,Data Receiving Time (GMT)
388,klaksvik,62.23,-6.59,47.97,81,16.11,94,FO,1603928446
389,campbell river,50.02,-125.24,51.01,97,5.12,100,CA,1603928446
390,turayf,31.67,38.66,66.18,25,9.22,26,SA,1603928446
391,porlamar,10.96,-63.85,80.6,84,6.85,57,VE,1603928446
392,avera,33.19,-82.53,77.0,95,12.15,83,US,1603928446
393,gaoyou,32.79,119.43,61.0,88,7.2,100,CN,1603928446
394,mecca,21.43,39.83,72.19,60,2.71,0,SA,1603928447
395,te anau,-45.42,167.72,63.21,57,2.51,62,NZ,1603928447
396,lakhimpur,27.95,80.77,65.57,57,3.04,0,IN,1603928447
397,faanui,-16.48,-151.75,79.83,80,16.98,14,PF,1603928447
398,borogontsy,62.67,131.17,2.16,92,5.08,100,RU,1603928447
399,ambon,-3.7,128.18,82.36,72,6.58,98,ID,1603928345
400,nyanguge,-2.55,33.2,73.02,71,7.11,74,TZ,1603928447
401,banepa,27.63,85.52,53.08,75,3.06,0,NP,1603928448
402,sol-iletsk,51.16,54.99,33.73,85,3.56,82,RU,1603928448
403,honiara,-9.43,159.95,85.03,75,8.21,84,SB,1603928448
404,winnemucca,40.97,-117.74,62.01,21,1.32,0,US,1603928448
405,lucapa,-8.42,20.74,65.89,98,1.25,96,AO,1603928448
406,tyazhinskiy,56.12,88.52,24.15,95,16.33,100,RU,1603928448
407,dinhata,26.13,89.47,70.12,73,5.84,0,IN,1603928448
408,jizan,17.33,42.67,76.5,59,1.63,0,SA,1603928448
409,durango,24.83,-104.83,67.05,35,9.04,0,MX,1603928220
410,kieta,-6.22,155.63,86.0,65,2.77,100,PG,1603928448
411,kulhudhuffushi,6.62,73.07,82.08,73,7.16,4,MV,1603928449
412,ust-ordynskiy,52.8,104.75,33.8,86,8.95,0,RU,1603928449
413,najran,17.49,44.13,52.25,42,2.08,0,SA,1603928449
414,williston,48.15,-103.62,39.99,70,1.99,76,US,1603928449
415,hanchuan,30.65,113.77,57.34,80,5.95,21,CN,1603928449
416,gizo,-8.1,156.84,84.7,75,10.2,92,SB,1603928449
417,chapais,49.78,-74.85,30.7,99,10.0,100,CA,1603928449
418,rolla,37.95,-91.77,44.01,96,10.2,100,US,1603928449
419,taltal,-25.4,-70.48,58.05,68,5.75,19,CL,1603928449
420,mahanoro,-19.9,48.8,70.99,89,5.5,5,MG,1603928449
421,along,28.17,94.77,58.98,54,1.95,0,IN,1603928450
422,galle,6.04,80.22,78.08,86,6.49,54,LK,1603928450
423,zhangye,38.93,100.45,44.26,47,7.07,0,CN,1603928450
424,adamovka,51.52,59.94,33.64,82,9.71,0,RU,1603928450
425,luanda,-8.84,13.23,75.38,87,8.16,67,AO,1603928450
426,mitzic,0.78,11.55,68.41,98,1.63,97,GA,1603928450
427,udomlya,57.88,34.99,44.82,93,8.39,73,RU,1603928450
428,korla,41.76,86.15,42.01,75,11.25,55,CN,1603928450
429,port pirie,-33.18,138.02,70.72,38,13.89,88,AU,1603928450
430,jardim,-21.48,-56.14,77.05,78,2.26,13,BR,1603928451
431,barretos,-20.56,-48.57,80.1,60,5.01,11,BR,1603928451
432,ilulissat,69.22,-51.1,11.91,88,4.74,100,GL,1603928451
433,nouadhibou,20.93,-17.03,73.99,63,17.11,100,MR,1603928451
434,ballina,-28.87,153.57,72.0,79,1.01,29,AU,1603928451
435,martinsville,36.69,-79.87,64.99,100,3.83,100,US,1603928251
436,saldanha,-33.01,17.94,59.77,86,11.9,100,ZA,1603928451
437,priladozhskiy,59.85,31.48,44.01,99,10.2,73,RU,1603928451
438,nurota,40.56,65.69,31.14,86,8.84,0,UZ,1603928451
439,beihai,21.48,109.1,73.0,86,16.35,100,CN,1603928452
440,hobyo,5.35,48.53,78.78,82,8.93,71,SO,1603928452
441,strizhi,58.46,49.29,32.59,96,9.42,82,RU,1603928452
442,bentiu,9.23,29.83,75.76,69,5.14,0,SS,1603928452
443,hampton,37.03,-76.35,72.0,95,9.8,100,US,1603928251
444,san andres,12.58,-81.7,83.1,79,11.05,82,CO,1603928452
445,anuchino,43.96,133.05,35.85,76,10.74,46,RU,1603928452
446,darhan,49.49,105.92,31.23,83,7.2,6,MN,1603928452
447,banyo,6.75,11.82,66.43,72,2.66,6,CM,1603928452
448,poum,-20.23,164.02,77.29,74,22.37,1,NC,1603928453
449,concarneau,47.88,-3.92,55.99,94,1.01,100,FR,1603928453
450,boyolangu,-8.12,111.89,79.68,78,2.06,25,ID,1603928453
451,ridge,40.89,-72.9,55.0,95,11.77,86,US,1603928453
452,sakaiminato,35.55,133.23,62.26,57,9.64,62,JP,1603928453
453,uruzgan,32.83,66.0,38.97,60,7.99,0,AF,1603928453
454,kamenka,51.32,42.77,34.3,81,9.4,0,RU,1603928251
455,rocha,-34.48,-54.33,56.08,74,13.44,88,UY,1603928453
456,lima,-12.04,-77.03,63.0,92,3.0,28,PE,1603928294
457,nago,26.59,127.98,73.0,83,9.35,29,JP,1603928454
458,neryungri,56.67,124.65,1.15,91,0.92,65,RU,1603928454
459,jinxiang,27.43,120.61,66.7,76,10.89,99,CN,1603928454
460,berezovyy,51.67,135.7,35.4,83,3.15,95,RU,1603928454
461,vao,-22.67,167.48,72.7,74,16.08,0,NC,1603928454
462,ak-dovurak,51.18,90.6,23.95,91,1.28,65,RU,1603928454
463,clifton,40.86,-74.16,57.99,88,6.8,99,US,1603928454
464,hovd,48.01,91.64,31.5,84,5.12,23,MN,1603928454
465,geraldton,-28.77,114.6,74.3,43,13.62,0,AU,1603928455
466,treinta y tres,-33.23,-54.38,55.15,76,6.85,69,UY,1603928455
467,pasighat,28.07,95.33,68.05,53,3.31,0,IN,1603928455
468,burdur,37.72,30.29,56.34,83,6.42,8,TR,1603928455
469,taoudenni,22.68,-3.98,81.63,16,12.64,37,ML,1603928455
470,giyani,-23.3,30.72,70.99,33,4.36,0,ZA,1603928455
471,atasu,48.68,71.64,26.31,95,7.43,96,KZ,1603928455
472,porto nacional,-10.71,-48.42,73.8,91,2.39,100,BR,1603928230
473,pasan,22.85,82.2,60.66,63,0.81,0,IN,1603928455
474,ust-barguzin,53.45,108.98,29.46,92,3.96,96,RU,1603928455
475,sao joao da barra,-21.64,-41.05,77.13,89,20.65,3,BR,1603928456
476,caledon,-34.23,19.43,63.0,65,1.99,96,ZA,1603928456
477,staryy nadym,65.61,72.68,2.97,88,11.01,10,RU,1603928456
478,sunndalsora,62.68,8.55,42.71,65,9.46,87,NO,1603928456
479,baturaja,-4.13,104.17,75.61,90,0.65,96,ID,1603928456
480,the valley,18.22,-63.06,81.0,86,7.0,35,AI,1603928456
481,obera,-27.49,-55.12,68.18,64,4.27,0,AR,1603928456
482,general roca,-39.03,-67.58,61.66,28,10.27,57,AR,1603928456
483,deming,32.27,-107.76,46.04,57,2.01,1,US,1603928457
484,kiama,-34.68,150.87,62.01,95,1.99,92,AU,1603928457
485,teya,60.38,92.63,20.75,94,11.01,100,RU,1603928457
486,bilma,18.69,12.92,70.9,19,4.61,0,NE,1603928457
487,angoche,-16.23,39.91,74.91,80,1.52,0,MZ,1603928457
488,show low,34.25,-110.03,42.01,55,5.17,0,US,1603928178
489,san lorenzo,-25.33,-57.53,77.63,40,6.96,32,PY,1603928457
490,ust-uda,54.17,103.03,31.6,97,4.47,96,RU,1603928301
491,takoradi,4.88,-1.76,77.47,88,7.25,48,GH,1603928458
492,platanos,37.67,21.62,61.0,74,3.94,22,GR,1603928458
493,bronnoysund,65.46,12.2,44.01,75,5.99,99,NO,1603928458
494,saint-leu,-21.15,55.28,60.01,92,1.99,98,RE,1603928458
495,shaowu,27.34,117.48,67.5,79,2.35,100,CN,1603928458
496,koumac,-20.57,164.28,81.1,58,3.8,10,NC,1603928458
497,dagua,3.66,-76.69,64.0,73,1.12,100,CO,1603928458
498,bonavista,48.65,-53.11,35.01,78,5.01,93,CA,1603928456
499,mumford,5.26,-0.76,77.77,90,6.96,18,GH,1603928458
500,waverley,-25.7,28.26,66.0,64,10.96,14,ZA,1603928459
501,khani,41.96,42.96,61.41,32,5.95,38,GE,1603928459
502,gogapur,23.55,75.52,67.28,36,2.71,0,IN,1603928459
503,nome,64.5,-165.41,30.99,78,3.0,14,US,1603928420
504,kolvereid,64.87,11.6,42.58,82,5.93,100,NO,1603928459
505,singaparna,-7.35,108.11,74.28,84,1.14,97,ID,1603928459
506,osoyoos,49.03,-119.45,43.0,71,3.58,89,CA,1603928459
507,half moon bay,37.46,-122.43,72.0,31,3.0,0,US,1603928459
508,santa maria del oro,25.93,-105.37,67.05,35,6.89,0,MX,1603928459
509,kidal,18.44,1.41,78.46,17,7.36,0,ML,1603928459
510,norman wells,65.28,-126.83,18.99,96,3.02,93,CA,1603928460
511,puerto madryn,-42.77,-65.04,51.85,43,9.4,22,AR,1603928460
512,maragogi,-9.01,-35.22,76.06,80,10.13,99,BR,1603928163
513,ingraj bazar,25.0,88.15,70.63,65,5.08,0,IN,1603928460
514,roma,43.21,-75.46,43.0,90,3.87,55,US,1603928460
515,suffolk,40.87,-72.8,55.0,95,11.99,84,US,1603928460
516,pacasmayo,-7.4,-79.57,64.6,81,12.77,58,PE,1603928460
517,forbes,-33.38,148.02,68.14,53,3.51,12,AU,1603928460
518,odlabari,26.83,88.62,67.5,49,5.23,0,IN,1603928460
519,rawson,-43.3,-65.1,49.51,54,8.01,18,AR,1603928461
520,bakchar,57.02,82.07,17.89,96,10.0,100,RU,1603928461
521,jamiltepec,16.28,-97.82,74.12,94,1.77,43,MX,1603928461
522,conceicao do mato dentro,-19.04,-43.42,71.65,82,1.77,96,BR,1603928461
523,fairbanks,64.84,-147.72,19.99,87,1.99,53,US,1603928396
524,bakaly,55.18,53.8,30.78,92,10.25,69,RU,1603928461
525,copiapo,-27.37,-70.33,57.74,70,2.46,0,CL,1603928375
526,marrakesh,31.63,-8.01,65.14,41,2.13,59,MA,1603928461
527,shelburne,44.08,-80.2,44.01,59,10.42,16,CA,1603928462
528,hue,16.47,107.6,75.67,89,5.23,68,VN,1603928229
529,atikokan,48.76,-91.62,26.91,95,7.0,94,CA,1603928462
530,camacha,33.08,-16.33,55.99,95,8.66,69,PT,1603928462
531,mahibadhoo,3.78,72.97,82.96,74,11.86,75,MV,1603928462
532,luena,-11.78,19.92,62.73,96,3.67,100,AO,1603928462
533,eydhafushi,5.1,73.07,82.69,72,7.47,53,MV,1603928462
534,sabang,5.89,95.32,82.4,74,17.96,100,ID,1603928462
535,raudeberg,61.99,5.14,46.0,86,23.44,100,NO,1603928463
536,sao gabriel da cachoeira,-0.13,-67.09,77.63,88,1.1,92,BR,1603928463
537,bodden town,19.28,-81.25,82.99,84,8.99,0,KY,1603928463
538,ayotzintepec,17.67,-96.13,77.81,85,1.79,90,MX,1603928463
539,cockburn town,21.46,-71.14,82.45,76,21.43,1,TC,1603928463
540,russellville,35.28,-93.13,54.0,94,2.28,100,US,1603928463
541,puro,12.48,123.38,83.16,76,7.31,64,PH,1603928463
542,ust-kuyga,70.02,135.6,-7.62,90,3.36,83,RU,1603928463
543,garh maharaja,30.83,71.91,63.41,29,2.95,0,PK,1603928463
544,seguela,7.96,-6.67,73.94,74,1.5,16,CI,1603928464
545,urumqi,43.8,87.6,37.92,74,5.23,18,CN,1603928285
546,manokwari,-0.87,134.08,84.29,64,2.66,100,ID,1603928232
547,jumla,29.27,82.18,42.13,51,4.97,0,NP,1603928464
548,hlukhiv,51.68,33.92,41.54,93,6.98,0,UA,1603928464
549,sakakah,29.97,40.21,61.02,30,2.37,0,SA,1603928464
550,aginskoye,51.1,114.53,25.5,93,3.91,21,RU,1603928464
551,jinchang,38.5,102.17,39.13,67,1.66,0,CN,1603928464
552,stryn,61.9,6.72,39.99,89,3.0,100,NO,1603928464
553,udachnyy,66.42,112.4,-13.7,88,0.65,0,RU,1603928464
554,anagni,41.74,13.15,48.99,45,1.01,0,IT,1603928465
555,sechura,-5.56,-80.82,68.05,74,15.55,80,PE,1603928465
556,buffalo,42.89,-78.88,50.0,73,5.01,20,US,1603928366
557,falun,60.6,15.63,45.0,97,8.75,52,SE,1603928465
558,vidim,56.41,103.11,32.58,96,8.25,100,RU,1603928465
559,podor,16.65,-14.96,90.48,13,11.21,11,MR,1603928465
560,gorontalo,0.54,123.06,81.5,77,1.14,89,ID,1603928291
561,marsh harbour,26.54,-77.06,81.21,79,15.61,31,BS,1603928465
